OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
390,7553304,NO ERROR,-83.51,35.71,15.59,10/1/2003
391,8107226,NO ERROR,-86.80,36.14,7.62,7/21/2003
392,8169533,NO ERROR,-86.75,36.11,9.51,12/18/2003
393,8089780,NO ERROR,-90.03,35.13,12.82,7/29/2003
394,7800063,ROUTE NOT FOUND,0.00,0.00,0.00,3/20/2003
395,7959878,NO ERROR,-90.03,35.16,13.05,11/6/2003
396,7562886,ROUTE NOT FOUND,0.00,0.00,0.00,1/16/2003
397,8108451,ROUTE NOT FOUND,0.00,0.00,0.00,8/15/2003
398,8192612,NO ERROR,-84.89,35.16,8.67,5/6/2003
399,8091802,NO ERROR,-89.98,35.14,1.48,8/29/2003
400,7886540,ROUTE NOT FOUND,0.00,0.00,0.00,3/25/2003
401,7496333,ROUTE NOT FOUND,0.00,0.00,0.00,8/26/2003
402,8098453,NO ERROR,-89.96,35.15,7.80,6/23/2003
403,8142798,ROUTE NOT FOUND,0.00,0.00,0.00,3/3/2003
404,7728246,NO ERROR,-87.96,36.02,2.24,11/14/2003
405,7996170,ROUTE NOT FOUND,0.00,0.00,0.00,7/15/2003
406,7303917,ROUTE NOT FOUND,0.00,0.00,0.00,2/25/2003
407,7506030,ROUTE NOT FOUND,0.00,0.00,0.00,1/27/2003
408,8115193,ROUTE NOT FOUND,0.00,0.00,0.00,3/5/2003
409,7773330,NO ERROR,-87.76,35.31,26.20,3/27/2003
410,7958436,ROUTE NOT FOUND,0.00,0.00,0.00,11/25/2003
411,7534026,NO ERROR,-82.70,36.57,12.09,7/12/2003
412,8104951,NO ERROR,-86.77,36.20,14.14,9/14/2003
413,8151419,NO ERROR,-86.70,36.09,4.31,5/24/2003
414,8061033,ROUTE NOT FOUND,0.00,0.00,0.00,11/17/2003
415,7462813,ROUTE NOT FOUND,0.00,0.00,0.00,4/3/2003
416,8095384,NO ERROR,-87.41,36.57,18.79,6/26/2003
417,8129703,NO ERROR,-90.05,35.14,0.28,3/28/2003
418,7305048,NO ERROR,-84.98,35.11,2.20,8/29/2003
419,7523566,NO ERROR,-90.02,35.13,12.28,10/23/2003
420,8119249,ROUTE NOT FOUND,0.00,0.00,0.00,4/30/2003
421,7704768,ROUTE NOT FOUND,0.00,0.00,0.00,5/30/2003
422,7962752,ROUTE NOT FOUND,0.00,0.00,0.00,8/10/2003
423,7849828,ROUTE NOT FOUND,0.00,0.00,0.00,2/11/2003
424,7491261,NO ERROR,-86.18,36.40,11.26,9/16/2003
425,8096865,NO ERROR,-89.88,35.11,7.30,5/30/2003
426,8136449,ROUTE NOT FOUND,0.00,0.00,0.00,4/25/2003
427,7309303,NO ERROR,-84.96,35.30,0.20,5/20/2003
428,7526672,NO ERROR,-89.96,35.13,3.72,5/16/2003
429,7712415,ROUTE NOT FOUND,0.00,0.00,0.00,10/2/2003
430,7964664,NO ERROR,-90.04,35.13,13.51,12/21/2003
431,7880664,NO ERROR,-87.38,36.08,8.61,2/3/2003
432,7327681,NO ERROR,-84.36,35.41,19.66,9/20/2003
433,7659229,ROUTE NOT FOUND,0.00,0.00,0.00,9/25/2003
434,7504809,ROUTE NOT FOUND,0.00,0.00,0.00,4/26/2003
435,8114566,NO ERROR,-83.96,35.98,14.13,3/13/2003
436,7957981,ROUTE NOT FOUND,0.00,0.00,0.00,11/18/2003
